name,position,team,price,total_points,goals,assists
Xhaka,3,Arsenal,4.8,119,5,5
Elneny,3,Arsenal,4.1,6,0,0
Holding,2,Arsenal,4.2,20,1,0
Partey,3,Arsenal,4.7,79,3,0
Ødegaard,3,Arsenal,6.6,180,12,8
Tierney,2,Arsenal,4.6,32,0,1
Pépé,3,Arsenal,5.3,0,0,0
White,2,Arsenal,5.0,139,2,5
Nketiah,4,Arsenal,6.4,60,4,2
Smith Rowe,3,Arsenal,5.6,13,0,1
Saka,3,Arsenal,8.3,187,13,12
Tomiyasu,2,Arsenal,4.2,32,0,1
Ramsdale,1,Arsenal,4.8,120,0,0
Gabriel,2,Arsenal,5.3,129,3,0
Tavares,2,Arsenal,4.5,0,0,0
Martinelli,3,Arsenal,6.8,190,15,8
Pablo Marí,2,Arsenal,4.5,0,0,0
Torreira,3,Arsenal,4.5,0,0,0
Nelson,3,Arsenal,4.7,38,3,3
Turner,1,Arsenal,3.8,0,0,0
Fábio Vieira,3,Arsenal,5.6,38,1,2
Saliba,2,Arsenal,5.0,117,2,1
Marquinhos,3,Arsenal,4.6,1,0,0
Jesus,4,Arsenal,8.1,101,9,6
Trossard,3,Arsenal,6.6,139,8,11
Jorginho,3,Arsenal,5.7,65,2,1
Zinchenko,2,Arsenal,5.2,91,1,2
Smith,3,Arsenal,4.4,0,0,0
Nwaneri,3,Arsenal,4.5,1,0,0
Sousa,2,Arsenal,4.0,0,0,0
Hein,1,Arsenal,3.9,0,0,0
Cozier-Duberry,3,Arsenal,4.5,0,0,0
Butler-Oyedeji,4,Arsenal,4.5,0,0,0
Kiwior,2,Arsenal,4.0,2,0,0
Walters,2,Arsenal,4.0,0,0,0
Coutinho,3,Aston Villa,6.6,32,1,0
Martínez,1,Aston Villa,5.0,123,0,0
Chambers,2,Aston Villa,4.2,12,0,0
Digne,2,Aston Villa,4.5,46,1,0
Traoré,3,Aston Villa,4.9,18,2,0
Olsen,1,Aston Villa,3.9,10,0,0
Sanson,3,Aston Villa,4.3,2,0,0
McGinn,3,Aston Villa,5.1,82,1,5
Hause,2,Aston Villa,4.4,0,0,0
Mings,2,Aston Villa,4.7,123,1,3
Watkins,4,Aston Villa,7.8,159,14,7
Nakamba,3,Aston Villa,4.3,0,0,0
Buendía,3,Aston Villa,5.7,108,5,3
Cash,2,Aston Villa,4.6,53,0,2
Konsa,2,Aston Villa,4.4,101,0,0
Bailey,3,Aston Villa,4.3,90,4,4
Douglas Luiz,3,Aston Villa,4.8,113,4,6
Ramsey,3,Aston Villa,5.3,106,4,6
Iroegbunam,3,Aston Villa,4.5,0,0,0
Diego Carlos,2,Aston Villa,4.7,3,0,0
El Ghazi,3,Aston Villa,4.8,0,0,0
Davis,4,Aston Villa,5.4,0,0,0
Kamara,3,Aston Villa,4.8,38,0,1
Archer,4,Aston Villa,4.2,6,0,0
Philogene-Bidace,3,Aston Villa,4.5,0,0,0
Guilbert,2,Aston Villa,3.9,0,0,0
Dendoncker,3,Aston Villa,4.7,34,0,0
Augustinsson,2,Aston Villa,4.3,2,0,0
Kesler Hayden,2,Aston Villa,4.0,0,0,0
Young,2,Aston Villa,4.3,82,1,0
Bogarde,2,Aston Villa,4.0,0,0,0
Marschall,1,Aston Villa,4.0,0,0,0
Kadan Young,3,Aston Villa,4.5,0,0,0
Álex Moreno,2,Aston Villa,4.5,65,0,3
Sinisalo,1,Aston Villa,4.0,0,0,0
Durán,4,Aston Villa,5.5,7,0,0
Swinkels,2,Aston Villa,4.0,0,0,0
Zych,1,Aston Villa,4.0,0,0,0
Wright,1,Aston Villa,4.0,0,0,0
Revan,2,Aston Villa,4.0,0,0,0
Patterson,3,Aston Villa,4.5,0,0,0
O'Reilly,3,Aston Villa,4.5,0,0,0
Smith,2,Bournemouth,4.3,68,0,1
Stanislas,3,Bournemouth,4.8,4,0,0
